id_pedido,fecha_salida,pais,producto,ciudad,dias_previstos,dias_reales,costo_envio,ingreso_venta,penalizacion,estado,lat,lon,margen_neto
PED-00001,2024-11-23,Perú,Mouse Ergonómico,Trujillo,7,9.0,47.42379514489006,80.88640597184835,20.18423170492085,Retrasado,-8.115,-79.029,13.278379122037439
PED-00002,2024-02-27,Colombia,Teclado Mecánico,Cali,5,5.0,29.30366546699892,98.21573871267996,0.0,A tiempo,3.4516,-76.5319,68.91207324568104
PED-00003,2024-01-13,Chile,Monitor 4K,Concepción,7,8.0,56.89164457074335,153.68720524979415,0.0,A tiempo,-36.8201,-73.0444,96.7955606790508
PED-00004,2024-05-20,México,Laptop Pro,Monterrey,5,7.0,43.16365717713612,222.6364901816169,29.063550765262782,Retrasado,25.6866,-100.3161,150.409282239218
PED-00005,2024-05-05,Chile,Hub Usb-C,Santiago,10,7.0,47.2627074783324,100.92322635801683,0.0,A tiempo,-33.4489,-70.6693,53.66051887968443
PED-00006,2024-04-24,Colombia,Mouse Ergonómico,Cali,5,9.0,29.857296470506117,124.99614378616172,48.965439153305326,Retrasado,3.4516,-76.5319,46.173408162350285
PED-00007,2024-03-12,Colombia,Monitor 4K,Cali,3,4.0,31.49597957518788,107.73794299967184,13.122395386087472,Retrasado,3.4516,-76.5319,63.119568038396494
PED-00008,2024-02-22,México,Mouse Ergonómico,Monterrey,5,5.0,50.978271747079226,152.39460677734138,0.0,A tiempo,25.6866,-100.3161,101.41633503026216
PED-00009,2024-12-12,Perú,Teclado Mecánico,Trujillo,6,6.0,54.3600577522258,97.02618680965902,0.0,A tiempo,-8.115,-79.029,42.666129057433224
PED-00010,2024-10-06,Perú,Monitor 4K,Trujillo,7,7.0,58.43839509641737,92.6179423125622,0.0,A tiempo,-8.115,-79.029,34.17954721614483
PED-00011,2024-02-14,Colombia,Laptop Pro,Cali,3,0.0,33.92634115650968,323.69318188053376,0.0,A tiempo,3.4516,-76.5319,289.76684072402406
PED-00012,2024-10-29,Colombia,Laptop Pro,Medellín,4,8.0,34.535855235092185,303.972552598054,52.86586388658,Retrasado,6.2476,-75.5658,216.5708334763818
PED-00013,2024-08-04,Perú,Laptop Pro,Arequipa,6,7.0,34.17776833253522,284.3836504687812,6.222887211805995,Retrasado,-16.409,-71.5375,243.98299492444
PED-00014,2024-01-17,Colombia,Laptop Pro,Bogotá,3,5.0,30.502276991656803,320.6457615834552,26.97175314061756,Retrasado,4.711,-74.0721,263.17173145118085
PED-00015,2024-01-16,México,Hub Usb-C,Guadalajara,6,9.0,54.79507548001609,73.8988682713342,27.42205858321327,Retrasado,20.6597,-103.3496,-8.318265791895165
PED-00016,2024-02-17,México,Mouse Ergonómico,CDMX,5,4.0,57.2894119457045,75.55291391922691,0.0,A tiempo,19.4326,-99.1332,18.26350197352241
PED-00017,2024-04-21,Chile,Monitor 4K,Concepción,8,10.0,43.07649225766206,78.88023912937545,27.39537136027852,Retrasado,-36.8201,-73.0444,8.408375511434873
PED-00018,2024-04-29,Perú,Laptop Pro,Arequipa,6,6.0,43.40960725111355,354.1227664066563,0.0,A tiempo,-16.409,-71.5375,310.71315915554277
PED-00019,2024-09-15,Colombia,Hub Usb-C,Bogotá,4,7.0,24.258993247164018,-28.840654239428545,39.2509407053045,Retrasado,4.711,-74.0721,-92.35058819189706
PED-00020,2024-11-04,Chile,Laptop Pro,Santiago,7,3.0,55.36413899891343,315.8239533905177,0.0,A tiempo,-33.4489,-70.6693,260.45981439160425
